eName,eDay,ePlace
ONLY广州法希婚礼盛典,再定档2021-08-07,宜尚酒店(广州番禺长隆万达广场万博地铁站店)
ONLY徐州THO·故彭鸿岚行,2021/8/3,米兰花酒店
ONLY广州少女前线only,2021/8/1,广州白云区西槎路31号西城智汇park会议中心
ONLY妖都偶像梦幻祭only,2021/8/1,番禺区 岭南电子商务园 会展中心
ONLY咒术回战only同好会杭州站,2021-07-31～2021-08-01,工联cc负一楼微店park三坑研究所
ONLY妖都IDOLiSH7only3.0,2021/7/31,番禺区 岭南电子商务园 会展中心
ONLY2021魔都家教only,2021/7/25,黄浦区局门路735号【爱菲尔会馆】
茶会广州Nijisanji同人茶话会,2021/7/25,中国广东省广州市番禺区厦滘岭南电商园六街1-80号OMG网红直播街
ONLY第三届魔都百合Only,2021/7/24,浦东新区新金桥路1599号 东方万国会议中心
ONLY广州全职高手十周年纪念主题同好会,2021/7/18,番禺区厦滘岭南电商产业园
ONLY魔都Musical Only 3.0,2021/7/18,明珠大饭店
茶会苏州THSP 东方茶会,2021/7/18,姑苏区 吴门桥街道 人民路200号 蓝园芳华文化创意园
ONLY2021成都百合only4,2021/7/17,青羊区壹号公馆5楼（4楼排队换票）
ONLY北京咒术回战only,2021/7/3,北京朝阳区中科创耀产业园
ONLY呼和浩特THO·东方青原歌,2021/7/3,维也纳酒店公主府地铁站店
LIVE东方PartyNight CP28 After,2021-06-13～2021-06-14,上海市黄浦区重庆南路308号白玉兰剧场3楼MAO Livehouse 上海
茶会电影《普罗米亚》上映应援包场活动,2021/6/12,上海万裕国际影城（淮海中路店）
综合同人展COMICUP 28,2021-06-12～2021-06-13,国家会展中心（上海）
LIVE“神灵十响” 东方神灵庙发售十周年 纪念钢琴演奏会,2021/6/11,汾阳路16号 柏斯琴行
茶会广州咒术回战茶话会,再定档2021-06-05,广州市番禺区洛浦街厦滘西环路岭南电商园会展中心
ONLY东方风海例祭03 大连东方ProjectOnly,2021/5/4,大连市星海国际金融中心3楼宴会厅
LIVE大连·东方PartyNight,2021/5/3,辽宁省大连市中山区胜利广场西侧Gift Space
ONLY安徽THO·东方红馆梦,2021/5/2,皇城御园酒店(长江西路店)
LIVE广州·M4R  VOCALOID之夜,2021/5/2,广东省广州市番禺区北环路星坊60号创意园内 Beauty Bar 酒吧
ONLY2021武汉百合only,2021/5/1,长江大酒店
ONLY沈阳THO02·东方春谣祭,2021/4/11,金际酒店
LIVE东方LiveParty沈阳·tho2·东方春谣祭,2021/4/11,铁西区沈辽路82号金际酒店
ONLY2021魔都FF14 ONLY,2021/4/10,上海市宝山区沪太路2751号上海木文化博物馆
ONLY上海SlashOnly,2021/3/21,上海市宝山区沪太路2695号木文化博物馆
ONLY广州鬼灭之刃only2.0,2021/3/21,厦滘岭南电商产业园
ONLY广州咒术回战only,2021/3/20,广州岭南电商文化产业园
ONLY上海咒术回战ONLY,2021/3/7,上海宝丰联大酒店 虹口区逸仙路纪念路301号 牡丹厅
ONLY妖都IDOLiSH7 only2.0,2021/1/30,厦滘 岭南电子商务园 会议中心
ONLY重庆only明日方舟展,2021/1/30,璧山俊豪中央大街
ONLY广州排球少年ONLY,2021/1/24,番禺区岭南电子商务产业园
茶会苏州THSP 东方茶会,2021/1/24,苏州市姑苏区吴门桥街道人民路200号 蓝园芳华文化创意园
茶会问鹿三千声优剧&见面会,2021/1/3,宜昌路179号万代南梦宫上海文化中心1F梦想剧场
ONLY鬼灭之宴_魔都鬼灭之刃only,2021-01-01～2021-01-02,上海市新国际博览中心（cp场中only）
综合同人展COMICUP27,2021-01-01～2021-01-02,新国际博览中心
综合展上海创作者集市OVS,2021-01-01～2021-01-02,新国际博览中心
LIVEbunny rhyTHm x Yonder Voice袋装鸡翅合同LIVE,2021/1/1,上海市长宁区凯旋路851号育音堂(凯旋路店)
ONLY2020南京百合only,2020/12/27,南京中央饭店
LIVE东方PartyNight,2020/12/26,南京市鼓楼区体育馆路五台山1-6号monohouse
ONLY魔都 江南百景ONLY,2020/11/22,维也纳国际酒店（火车站店）
ONLY妖都好兆头世纪婚礼,2020/11/7,未定
ONLY2020魔都YGOONLY,2020/11/7,宝山区沪太路2751号上海木文化博物馆
茶会test活动测试啊,2020/11/3,上海测试
ONLY魔都第三届HPO：甜蜜惊魂万圣节,2020/10/31,杨高中路2112号·霍格莫德村
ONLY一布江湖魔都布袋戏ONLY 4.0,2020/10/24,上海市宝山区沪太路2751号上海木文化博物馆
ONLYENCORE-上海IDOLiSH7 ONLY 2.0,2020/10/7,虹口区逸仙路270号宝丰联大酒店
ONLY魔都凹凸春日盛典ver2.0,2020/10/6,上海市虹口区逸仙路270号宝丰联大酒店水晶厅
ONLY广州恋与制作人only2.0,2020/10/5,番禺岭南电子商务园
ONLY妖都APHonly,2020/10/4,番禺区厦滘岭南电商产业园综合楼2楼
综合同人展北京SlashOnly16&GoldenAgeExpo04综合展,2020-10-04～2020-10-05,朝阳区建国路郎家园6号院 郎园vintage文创园区
ONLY2020广州东方only東方遊劇天,2020/10/4,岭南电子商务产业园
ONLY青岛马迷嘉年华QBF,2020/10/3,市南区彰化路1号银都花园36-1 壹所
综合展百脑汇  上海 超元气黄金周 跨次元集市,2020-10-03～2020-10-04,徐汇区漕溪北路339号
ONLY2020长沙百合only,2020/10/1,芙蓉区八一路58号海程大酒店
ONLY魅知幻想博览会2020 北京场,2020-10-01～2020-10-04,北京市石景山游乐园
LIVE贩售会萌遇未来in广州,2020/8/30,广东省广州市海珠区新港东路1068号中州中心国茶荟
ONLY广州凹凸世界ONLY 4.0,2020/8/23,番禺区厦滘岭南电商产业园
ONLY魔都名侦探柯南only4,2020/8/23,上海市虹口区逸仙路270号宝丰联大酒店G层牡丹厅
ONLY妖都jojo的奇妙冒险ONLY 2020,2020/8/23,广州市白云区白云大道北同泰路颐和山庄颐和大酒店 国际会议厅
LIVE广州 jojo的奇妙冒险 电音蹦迪party,2020/8/22,纳斯顿·LA酒吧 广州市白云区三元里大道1218号
茶会all金茶会1.0-上海站,2020/8/22,上海市长宁区虹桥路2419号龙柏酒店
ONLY妖都太中ONLY-OneNight,2020/8/22,广州市番禺区岭南电商产业园
ONLY魅知幻想博览会2020 广州场,2020-08-21～2020-08-23,琶洲保利世博展览馆
ONLY魔都鸣佐ONLY日月同辉,2020/8/16,漕宝路1688号诺宝中心酒店
ONLY广州龙城大集市线下活动,2020/8/16,新港东路2842号盒子琶洲院子-本森超跑俱乐部
ONLY魔都潘多拉之心ONLY,2020/8/8,徐汇区天平路185号上海天平宾馆
ONLY魔都排球少年ONLY,2020/8/8,上海市虹口区逸仙路270号宝丰联大酒店
茶会JOJO的奇妙茶会青岛,2020/8/8,东庆童话一站式婚礼宴会中心(市北店)
ONLY重庆第一届明日方舟Only,2020/8/8,重庆市南岸区五公里学府大道19号3楼(工商大学正门口)
ONLY成都APHonly,2020/8/2,四川省成都市金牛区营门口路251民光商厦5楼
ONLY上海彩虹小马ONLY Shanghai Brony Con,2020/8/2,上海市青浦区诸光路绿地全球贸易港A座3层
茶会2020魔都米英初恋茶会,2020/8/2,上海市延安西路918号锦江都城经典酒店1楼 Hello Coffee
ONLY魔都网球王子only,2020/8/1,虹口区逸仙路270号宝丰联大酒店
ONLY嘉金ONLY3.0（广州站）,2020/8/1,广州琶洲酒店十楼
ONLY2020杭州APH Only,2020/8/1,好来登大酒店
综合同人展COMICUP 26,2020-07-25～2020-07-26,国家会展中心（上海）
ONLY魅知幻想博览会2020 上海场,2020-07-25～2020-07-26,国家会展中心(上海)
ONLY成都jojo only+jojo音乐节,2020/7/18,成都市成华区建设南支路4号东郊记忆东郊记忆ALIVE壹现场
ONLY東方蘇酒宴,2020/7/18,苏州市苏州工业园区李公堤路99号A10幢一层
ONLY上海第二届海贼王ONLY,再定档2020-07-12,木文化博物馆
ONLY魔都逆转系列Only,2020/7/11,木文化博物馆
茶会game party-东方遊戏天-游戏主题茶会,2020-07-11～2020-07-12,鹭江地铁站附近.新港西路.大江直街1号.邦华一创社.Gathering
ONLY广州全职高手9周年纪念主题同好会,2020/6/21,番禺区厦滘岭南电商产业园
综合同人展燃梦共创春季创作者交流大会,2020-05-01～2020-05-03,广州琶洲国际采购中心
茶会魔都clamp茶会,再定档2020-04-11,西藏北路198号上海大悦城北座六楼n62猫星系
ONLY宁波我的英雄学院ONLY,2020/4/4,桑田路333号南铂泰富广场
综合同人展ADSL本土动漫创作作品展-20th,再定档2020-02-22,岭南会展中心
ONLY北京鬼灭之刃ONLY,再定档2020-02-15,北京市朝阳区南湖西园222号楼香颂下沉广场负一层（室内）
ONLY妖都第四届pokemon only Rival,再定档2020-02-09,番禺区厦滘西环路1号岭南电子商务产业园
ONLY东方风海例祭02 大连东方ProjectOnly,再定档2020-02-08,心悦大酒店5F
综合同人展上海魔咒同人祭,2020-01-29～2020-01-31,人民广场迪美b1方里城市市集
ONLY苏州THO  吴鸿沧堰,2020/1/19,三香路178号 华侨饭店
ONLY福建TouhouOnly——白鹭风茗,2020/1/18,厦门华侨大厦大酒店 五楼宴会厅（厦门市新华路70-74号）
ONLY重庆 JOJO Only,2020/1/11,长都假日酒店
ONLY杭州我的英雄学院only2.0,2020/1/1,杭州江干区杭海路1189号（近九堡地铁站）澳都大酒店7F
ONLY魔都机动战士高达only,2020/1/1,上海市虹口区纪念路301号宝丰联大酒店G层牡丹厅
茶会上海环壮婚礼主题茶会,2019/12/31,上海市徐汇区
ONLY2019南京百合only,2019/12/29,南京市玄武区中山东路237号
ONLY广州鬼灭之刃only,2019/12/28,番禺区厦滘地铁站岭南电商产业园综合楼二楼
ONLY上海 明日方舟 同好会,2019-12-28～2019-12-29,上海市人民大道221号 人民广场迪美B1 方里城市市集
综合同人展FIGUP手办祭04,2019-12-21～2019-12-22,浦东新国际博览中心
综合同人展COMICUP 25,2019-12-21～2019-12-22,上海新国际博览中心
ONLY北京全职高手ONLY3.0,2019/12/15,永外大红门西马场甲14号钰田缘大酒楼
综合同人展深圳大学ALFA秋祭动漫同人嘉年华,2019/11/30,南山区深圳大学石头坞广场
LIVEw-inds. LIVE TOUR 2019-上海 未来/过去,2019/11/30,国家会展中心(上海)EH虹馆
ONLY2019广州明日方舟only—罗德岛岁末游园会,2019/11/24,广东省广州市厦滘岭南国际电子商务产业园
ONLY魔都游戏王only,2019/11/24,龙吴路997号（3号线石龙路附近）
ONLY一布江湖·魔都布袋戏ONLY,2019/11/23,北翟路南华街66号（上海徽府）
ONLY魔都特摄only4.0,2019/11/16,上海市徐汇区光大会展大酒店漕宝路66号b座2楼8号厅
ONLY青岛东方only02-东方绛雪祭,2019/11/9,德爱花园大酒店
ONLY宁波明日方舟ONLY,2019/11/9,宁波市桑田路333号南铂泰富广场酒店
茶会第二届武汉高校联合东方例会~梦违江汉,2019/11/9,湖北省武汉市硚口区解放大道1131号
茶会龙城学前班·棉花王国妖都限定CAFE,2019/11/2,广州市天河区
ONLY广州Clamp Only,再定档2019-10-26,番禺区厦滘西环路1号岭南电商园-综合楼
茶会妖都古剑桃月祭3.0茶话会 - 秋荼梦,2019/10/20,广州番禺区岭南电商产业园综合楼2楼会议厅
茶会第三届南京航空航天大学THO——东方天响录3,2019/10/20,南京航空航天大学将军路校区六号楼6202教室
LIVEMYTH＆ROID上海演唱会,2019/10/19,上海摩登天空
ONLY北京GA明日方舟only,2019/10/19,北京市东城区北三环东路36号环球贸易中心D座B1层09 S1Club
综合同人展上海群英荟~Fantasies Studded,2019/10/19,黄浦区新闸路126号 广场嘉廷酒店
ONLY2019魔都安雷ONLY,2019/10/6,上海市虹口区纪念路301号 宝丰联大酒店牡丹厅
茶会罗小黑战记电影应援包场观影会,2019/10/6,苏宁影城（五角场店）
ONLY2019第八届魔都战国三国only,2019/10/5,上海市沃克共享会议室 （上海灯具城）（虹口区 柳营路）
综合同人展第二十四届成都comiday原创动漫交流会,2019-10-05～2019-10-06,成都世纪城新国际会展中心7号馆
ONLY广州我的英雄学院only3.0,2019/10/5,广东省广州市厦滘岭南国际电子商务产业园
ONLY【无知是福】上海克苏鲁ONLY,2019/10/4,木文化博物馆 上海市沪太路2751号
LIVEbunny rhyTHm×Yonder Voice袋装鸡翅合同LIVE,2019/10/4,191SPACE(广州大道中路191号 近五羊邨地铁站A出)
ONLY2019广州THO秋季东方游剧天,2019/10/4,岭南电子商务产业园
ONLY武汉明日方舟only,2019/10/3,硚口区解放大道1131号长江大酒店
茶会广州2019鸣佐茶会,2019/10/3,海珠区江南西紫山大街紫山围院云路仓库
ONLY妖都茶布茶ONLY,2019/10/3,广州天河区建中路24号2层-广州贝塔空间
ONLY妖都雷安ONLY,再定档2019-10-03,番禺区厦滘地铁站岭南电商文化产业园
ONLY魔都明日方舟招募大会_明日方舟ONLY,2019/10/3,上海市宝丰联大酒店
LIVE【长沙LP】东方LiveParty×东方文椛祭,2019/10/2,Mao Livehouse（黄兴中路粉巢24H MALL三楼L3-01号）
ONLY魔都我的英雄学院ONLY 3,2019/10/2,虹口区纪念路301号宝丰联大酒店G层
ONLY广州钻石王牌ONLY,2019/10/2,名豪酒店
LIVE【杭州LP】东方LiveParty CB02 Special,2019/9/21,Hi Livehouse（杭州市江干区晓城天地潮玩馆3楼）
同好包场魔都哪吒下档前包场观影活动,2019/9/21,苏宁影城（上海五角场店）
综合同人展Comic Bazaar02,2019-09-21～2019-09-22,杭州创意设计中心C-BOX展馆
LIVE【武汉LP】东方LiveParty×东方月桂影,2019/9/14,海岸线酒吧（武昌区彭刘杨路后长街29号）
ONLY第五届武汉THO—东方月桂影,2019-09-14～2019-09-15,汉阳区汉阳造艺术区汉阳会馆
综合同人展Comic Quartet西安同人交流会,2019-09-14～2019-09-15,碑林区 漫竞界绘生活动漫体验馆
ONLY成都Slash Only5,2019/8/31,成华区二仙桥西路32号完美文创公园6号仓
茶会广州明日方舟茶话会,2019/8/25,广州市番禺区厦滘地铁站岭南电商文化产业园综合楼二楼
综合同人展COMICUP 2019SP,2019-08-24～2019-08-25,光大会展中心
同好包场824全职高手粉丝观影会,2019/8/24,SFC上影影城（徐汇日月光店）
综合同人展武汉ComiAi 动漫游戏同人博览会16,2019-08-24～2019-08-25,武汉国际博览中心
茶会魔都卡片战斗先导者茶会,2019/8/18,乐山路33号交大慧谷科技园1号楼底楼
ONLY2019成都百合only,2019/8/18,四川省成都市青羊区人民中路三段1号壹号公馆5楼
ONLY南京我的英雄学院ONLY,2019/8/18,鼓楼区汉中路国际金融中心六楼丁香御品大酒店。近新街口东方弗莱德。
LIVETHE ORIGINS -魂音泉 One Man Live in 上海,2019/8/17,育音堂音乐公园 上海市长宁区愚园路1398号B1-02
同好包场817全职高手电影包场,2019/8/17,苏宁影城（五角场店）
ONLY魔都Pokemon Only2019,2019/8/17,漕宝路1688号诺宝中心（地铁9号线星中路2号口出）
ONLY第十届上海东方ONLY,2019-08-17～2019-08-18,上海跨国采购会展中心
ONLY2019杭州守望先锋only展,2019/8/11,浙江省杭州市江干区钱江路601号
ONLY2019魔都家教ONLY,2019/8/11,上海市浦东新区滨江大道1658号东方薇婷私人婚礼会馆
综合展第一届机甲模玩节,2019/8/10,上海黄浦区汉口路398号华盛大厦6F
茶会昆山KS3东方茶会,2019/8/10,昆山 前进西路 119 长城国际广场 咖啡行乐
ONLY2019魔都切爆only,2019/8/10,上海市虹口区逸仙路270号宝丰联大酒店
ONLY感谢有你·蝴蝶蓝作品主题同好会 3.0,2019/8/10,番禺区厦滘岭南电商产业园综合楼二楼
ONLY武汉凹凸世界only,2019/8/10,长江大酒店
LIVE宫野真守亚洲巡回演唱会2019 〜BLAZING!〜上海站,2019/8/10,国家会展中心（上海）虹馆EH 上海市青浦区崧泽大道333号
ONLY魔都名侦探柯南only3,2019/8/4,上海黄浦区汉口路398号华盛大厦6F
ONLY妖都凹凸世界ONLY 3.0,2019/8/4,番禺区厦滘岭南电商产业园会展中心
ONLY巅峰荣耀游园会,2019/8/4,朝阳门外3号院山水铂宫
ONLY2019杭州 APH Only,2019/8/3,杭州好来登大酒店
ONLY妖都jojo only 2019,2019/8/3,广州市番禺区厦滘岭南电商产业园会展中心
ONLY2019魔都雷安only,2019/8/3,杨浦区长阳路1687号圣拉维
茶会绿都偶像梦幻祭三周年线下茶话会,2019/7/29,南宁市鲁班路95号曼哈顿酒店17F会议厅
同好包场魔都哪吒之魔童降世电影包场,2019/7/28,上海市杨浦区邯郸路585号苏宁生活广场4楼 苏宁影城(五角场店)
ONLY嘉金婚礼2.0武汉站,2019/7/28,武汉亚贸恒升大酒店7楼【武汉市武昌区武珞路628号（地铁二号线宝通寺站）】
ONLY妖都APH同好会,2019/7/28,番禺区厦滘地铁站岭南电商文化产业园综合楼2楼
ONLY2019广州百合only,2019/7/28,广州市番禺区厦滘地铁站岭南电商文化产业园综合会议厅
LIVE东方LiveParty × 东方鹏徙谣,2019/7/28,HOU LIVE(深圳市福田区滨河大道9289号KK ONE购物中心负一层B112a（地铁9号线下沙站B出口））
ONLY【ONE·WORLD 2019】杭州ONE老师作品ONLY,2019/7/27,杭州江干区钱江路601号  嘉宝丽Capri婚礼会所钱江店
ONLY第二届杭州NintendOnly,2019/7/27,滨江区江南大道4264号知本大厦A2栋
ONLY青岛全职高手only-霸图主场7.0,2019/7/27,德爱花园大酒店（市北区武定路29号）
LIVE东方LiveParty×东方清泉飨,2019/7/27,班卓音乐酒吧（环山路69号2楼(环山路与燕翔路路口北行50米路西))
ONLY济南 SLASH ONLY,2019/7/21,城南往事济南风味主题餐厅历山北路店 三楼整层
ONLY魔都逆转系列Only,2019/7/20,延安西路918号锦江都城经典酒店1楼HelloCoffee（暂定）
综合同人展天津BFC小马展会,2019-07-20～2019-07-21,天津赛象酒店
ONLY妖都IDOLiSH7 only,2019/7/20,广州岭南电子商务产业园会展中心 服务中心二楼
LIVE东方LiveParty×东方觉梦境——1周年特别版,2019/7/20,7LIVEHOUSE（河南省郑州市金水区文化路和金水路交汇处东北角中原大舞台内2层）
ONLY魔都Musical Only 2.0,2019/7/14,明珠大饭店
LIVE火の意志 火的意志,2019/7/14,万代南梦宫文化艺术中心 梦想剧场
ONLY炎都我的英雄学院only2,2019/7/14,湖北省武汉市桥口区解放大道1091号梅园宾馆
ONLY杭州SLASHONLY 5,2019/7/14,杭州皇冠大酒店（江干区天城路88号）1F海棠厅
ONLY深圳jojo only 2019,2019/7/14,深圳市罗湖区红桂路红桂大厦18楼（红岭地铁口c2出口）
ONLY2019沈阳APH only,2019/7/14,沈阳市沈河区北二经街与九纬路交叉口东 Rozz-Tox多元艺术空间
ONLY上海胜出ONLY 2.0,2019/7/13,虹口区吴淞路299号上海宝御大酒店
ONLY成都2019年夏季奇杰ONLY,2019/7/7,四川省成都市青羊区千祥街15号 火车艺术馆
ONLY安徽THCP01-寓梦徽韵城,2019/7/6,安徽省合肥市蜀山区 皇城御园酒店（长江西路和西二环路交叉口向西150米）
综合同人展【CT十周年】第十九届ComiTime雾都同人祭,2019-07-06～2019-07-07,陈家坪会展中心
ONLY西安-龙门警署例会-方舟Only,2019/7/6,长安区北长安街111号第壹咖啡
LIVE山本一庆2019生日会&欢唱会,2019/6/30,万代南梦宫文化艺术中心 未来剧场
LIVE无尽的华尔兹——机器人动画主题演唱会,2019/6/29,Hello Coffee 上海市延安西路918号锦江都城达华经典酒店一楼
ONLY大连FATE ONLY,2019/6/23,大连市
官方活动为港区二周年献上祝福——碧蓝航线线下巡游见面会上海站,2019/6/22,长宁区延安西路918号锦江都城经典酒店1楼 Holle coffee
官方活动为港区二周年献上祝福——碧蓝航线线下巡游见面会广州站,2019/6/15,广州市越秀区沿江东路466号大沙头码头
综合同人展COMICUP 24,2019-06-07～2019-06-08,国家会展中心（上海）
LIVE东方LiveParty ComicuP24 special,2019/6/7,万代南梦宫上海文化中心未来剧场（上海市宜昌路179号）
ONLY深圳6月Slash Only,2019/6/1,广东省深圳市罗湖区春风路3011号
茶会第四届南京秘封茶会《梦现幻想纪行》,2019/6/1,南京市秦淮区中山东路416号汉庭酒店
茶会2019广州叶修生日茶会,2019/5/26,广州市番禺区南村图兰朵轰趴馆（地铁7号线板桥地铁站，步行400米约2分钟）
LIVE北京·东方LiveParty × 京华万象展,2019/5/25,MAOlivehouse 复兴路69号院2号136-G23
粉丝见面会小越勇辉2019首次粉丝见面&欢唱会 in 上海,2019/5/18,VAS LIVE（上海市普陀区万航渡后路19号3F）
LIVE东方光华语,2019/5/18,复旦大学枫林校区学生活动中心多功能厅（东安路130号）
ONLYENCORE-上海IDOLiSH7 ONLY,2019/5/4,黄兴路1888号华美达大酒店宴会厅
综合展微光国际动漫展,2019-05-03～2019-05-04,上海跨国采购会展中心
综合展第19届萌卡同人祭,2019-05-02～2019-05-04,长沙红星国际会展中心
茶会广州凹凸世界同好会,2019/5/1,番禺区南村板桥图兰朵轰趴馆
ONLY魔都clamp only,2019/4/27,广场嘉庭酒店5F
ONLYTHONLY·西安-长安THO-长乐未央,2019/4/20,朱雀大街南段1号-汇成天玺酒店
ONLY深圳我的英雄学院only,2019/4/20,广东省深圳市罗湖区和平路1009号深圳华侨酒店
综合同人展深圳大学ALFA夏祭同人展·十周年,2019/4/20,深圳大学石头坞广场
LIVE花泽香菜2019上海演唱会,2019/4/14,上海市浦东新区世博大道1200号上海梅赛德斯-奔驰文化中心
ONLY魔都JOJO only,2019/4/6,上海闵行区漕宝路诺宝中心酒店
ONLY河北东方Only 华胥梦蝶祭,2019/4/6,石家庄市 中山西路688号 OYO志享道合酒店/一楼锦绣厅
LIVE上海·HYDE世界巡回演唱会2019,2019/3/27,上海国家会展中心（上海）虹馆EH
ONLY广州特摄Festival 2ERO,2019/3/9,广州市岭南国际电子商务会展中心（洛浦街厦滘西环路1号）
LIVE东方LiveParty x東方游劇天,2019/3/9,广州大道中路191号
ONLY2019广州东方only东方游剧天,2019/3/9,岭南电子商务产业园 岭南电子商务产业园
综合同人展第二十三届成都comiday同人交流会,2019-03-02～2019-03-03,成都市高新区世纪城路198号附2992号成都世纪城新会展5号馆
ONLY深圳全职高手only,2019/3/2,深圳市罗湖区春风路3011号鸿丰大酒店
茶会南京古剑茶话会,2019/3/2,秦淮区中华路一号红街二楼45-46号 寻路吧
ONLY幻想空闻集 风海小祭——大连东方Only,2019/2/23,辽宁省大连市人民路81号/心悦大酒店
综合同人展ComiTime雾都同人祭SPECIAL,2019/2/17,九龙坡区陈家坪会展中心
综合同人展YACA58th春季动漫展,2019-02-16～2019-02-17,广州市海珠区新港东路630-638号南丰国际会展中心
ONLY重庆欧美交流展slashonly04,2019/1/26,解放碑中天大酒店1号会议室（解放碑新华书店正对面）
茶会成都胜出茶话会,2019/1/26,高新区府城大道399号天府新谷10号楼17
茶会成都出胜暖冬茶话会,2019/1/26,成华区府清路二段24号尚锦翡翠酒店（春熙路印象店）
ONLY沈阳THonly_東方冴楽凜,2019/1/12,中街路235号桃园大酒店（中兴新一城南门对面）
ONLY杭州NintendOnly,2019/1/12,滨江区江南大道4264号知本大厦A2栋
ONLY妖都凹凸世界ONLY 2.0,2019/1/1,番禺区厦滘西环路一号岭南电商产业园会展中心
ONLY魔都一人之下ONLY,2019/1/1,黄浦区新闸路126号
ONLY南京THO——东方桨灯影,2018/12/31,江苏省南京市秦淮区夫子庙大石坝街68号
LIVE东方LiveParty × 东方桨灯影,2018-12-31～2019-01-01,江苏省南京市秦淮区夫子庙大石坝街68号白鹭宾馆1楼
ONLY深圳小英雄only,2018/12/31,龙华区民治大道58号 兰廷酒店
综合同人展2018跨年布袋戏文化节,再定档2018-12-30,广东省深圳市宝安区沙井街道岗头路20号 中亚会展中心
ONLY长沙东方only 东方烛夜凝,2018/12/22,芙蓉区八一路58号的海程大酒店五楼多功能厅
ONLY炎都我的英雄学院ONLY,2018-12-22～2018-12-23,武汉市汉阳区汉阳造艺术区汉阳会馆
LIVE东方LiveParty×东方烛夜凝,2018/12/22,开福区黄兴路87号的建筑物第3层L3-01号MaoLivehouse长沙
LIVEThe Origins 4th,2018/12/16,Mao Livehouse
综合同人展COMICUP 23,2018-12-15～2018-12-16,上海新国际博览中心
游戏展BGM桌游展,2018-12-15～2018-12-16,上海世博展览馆3号馆
